Date,Open,High,Low,Close
6/18/2015,100.260002,100.900002,100.150002,100.25
6/19/2015,99.720001,100.169998,99.459999,99.470001
6/22/2015,99.830002,100.370003,99.370003,100.290001
6/23/2015,99.959999,100.43,99.540001,100.089996
6/24/2015,99.980003,100.68,99.269997,99.269997
6/25/2015,99.449997,99.660004,98.290001,98.339996
6/26/2015,98.239998,98.690002,97.809998,98.599998
6/29/2015,97.5,97.959999,96.599998,96.690002
6/30/2015,97.449997,97.660004,96.220001,96.470001
7/1/2015,96.300003,96.620003,95.550003,96.089996
7/2/2015,96.360001,96.669998,95.720001,95.870003
7/6/2015,95.059998,95.559998,94.480003,94.769997
7/7/2015,94.410004,95.480003,93.5,95.269997
7/8/2015,94.589996,95.089996,93.260002,93.559998
7/9/2015,94.900002,95.209999,93.760002,93.779999
7/10/2015,94.529999,94.949997,94.07,94.410004
7/13/2015,94.309998,94.889999,94.150002,94.599998
7/14/2015,94.400002,95.790001,94.389999,95.550003
7/15/2015,95.040001,95.699997,93.889999,94.239998
7/16/2015,94.279999,94.730003,93.900002,94.480003
7/17/2015,94.230003,94.389999,92.900002,93.150002
7/20/2015,93.300003,93.489998,92.589996,92.940002
7/21/2015,93,94.139999,93,93.900002
7/22/2015,93.510002,94.330002,93.290001,93.510002
7/23/2015,93.57,94.07,92.699997,92.940002
7/24/2015,92.779999,92.779999,90.349998,90.599998
7/27/2015,89.860001,90.089996,88.739998,89.139999
7/28/2015,89.449997,92.690002,89.43,92.400002
7/29/2015,91.980003,93.400002,91.440002,93.25
7/30/2015,93.449997,93.809998,92.75,93.029999
7/31/2015,91.519997,91.75,88.010002,88.480003
8/3/2015,87.279999,87.330002,85.32,85.599998
8/4/2015,85.739998,86.900002,84.68,85.209999
8/5/2015,85.440002,86,83.870003,84.029999
8/6/2015,83.559998,85.580002,82.889999,85.190002
8/7/2015,84.709999,85.260002,83.43,83.75
8/10/2015,84.199997,86.099998,83.879997,85.889999
8/11/2015,84.379997,85.980003,83.599998,85.779999
8/12/2015,85,87.110001,84.919998,86.790001
8/13/2015,86.029999,86.339996,85.449997,85.849998
8/14/2015,85.779999,86.419998,85.290001,85.989998
8/17/2015,84.459999,84.510002,83.110001,83.230003
8/18/2015,83.080002,83.769997,82.82,83.440002
8/19/2015,82.870003,82.910004,80.669998,80.910004
8/20/2015,80.660004,81.290001,79.239998,79.239998
8/21/2015,78.870003,79.589996,75.709999,75.760002
8/24/2015,70.550003,75.379997,69.580002,72.120003
8/25/2015,74.93,75.019997,69.839996,70.019997
8/26/2015,71.720001,73.099998,70.949997,73.089996
8/27/2015,75,78.120003,74.559998,77.639999
8/28/2015,77.720001,81.199997,77.580002,80.43
8/31/2015,80.010002,81.080002,77.919998,80.989998
9/1/2015,78.760002,79.389999,77.519997,78.190002
9/2/2015,79.75,79.75,77.230003,78.059998
9/3/2015,78.699997,79.419998,77.690002,78.260002
9/4/2015,77.300003,77.629997,76.449997,76.669998
9/8/2015,77.529999,77.559998,76.239998,76.839996
9/9/2015,77.43,78.199997,74.75,74.919998
9/10/2015,75.730003,75.800003,74.309998,75.660004
9/11/2015,75.940002,76.25,75.089996,75.790001
9/14/2015,75.519997,76,74.959999,75.769997
9/15/2015,76.43,77.690002,76.209999,77.169998
9/16/2015,77.82,79.209999,77.769997,79.019997
9/17/2015,79.120003,80.470001,78.599998,79.410004
9/18/2015,77.910004,78.699997,76.970001,77.739998
9/21/2015,78.300003,78.730003,77.839996,78.089996
9/22/2015,76.839996,77.690002,76.489998,77.25
9/23/2015,77.400002,77.529999,75.760002,76.120003
9/24/2015,75.449997,77.309998,75.099998,76.889999
9/25/2015,77.870003,78.160004,76.919998,77.699997
9/28/2015,76.660004,76.93,75.75,75.769997
9/29/2015,76.040001,76.660004,75.279999,76.25
9/30/2015,77.150002,79.019997,77,78.879997
10/1/2015,79.720001,80.889999,77.809998,78.339996
10/2/2015,77.739998,81.550003,77.309998,81.550003
10/5/2015,82.410004,84.190002,82.349998,84.029999
10/6/2015,84.18,87.629997,84.07,86.989998
10/7/2015,88.25,89.510002,86.279999,88.120003
10/8/2015,87.889999,90.139999,87.800003,89.910004
10/9/2015,90.199997,90.400002,88.669998,89.57
10/12/2015,89.860001,89.980003,87.870003,88.739998
10/13/2015,87.800003,88.940002,87.290001,88.379997
10/14/2015,88.230003,89.970001,87.709999,89.760002
10/15/2015,89.650002,90.870003,88.440002,90.720001
10/16/2015,91.550003,91.660004,90.019997,91.290001
10/19/2015,90.360001,90.540001,89.220001,90.029999
10/20/2015,89.5,90.489998,89.389999,89.989998
10/21/2015,89.440002,90.629997,89.139999,89.330002
10/22/2015,89.739998,91.809998,89.739998,91.620003
10/23/2015,90.75,91.93,90.089996,91.239998
10/26/2015,90.870003,90.879997,88.580002,88.769997
10/27/2015,87.730003,87.959999,86.739998,87.699997
10/28/2015,88.209999,90.120003,87.919998,89.790001
10/29/2015,89.32,90.93,89.139999,89.889999
10/30/2015,91.139999,91.980003,89.410004,90.879997
11/2/2015,90.610001,95.279999,90.480003,94.959999
11/3/2015,95.419998,98.639999,95.419998,98.139999
11/4/2015,98.019997,98.099998,96.080002,96.769997
11/5/2015,96.050003,96.550003,94.330002,94.550003
11/6/2015,93.709999,94.07,91.760002,94.029999
11/9/2015,93.480003,94.449997,92.099998,92.32
11/10/2015,92.099998,93.5,91.839996,93.230003
11/11/2015,93.389999,93.709999,91.860001,92.190002
11/12/2015,90.75,91.150002,89.25,89.860001
11/13/2015,89.57,89.970001,88.190002,88.68
11/16/2015,87.790001,91.470001,87.790001,91.449997
11/17/2015,91.269997,92.5,90.699997,91.029999
11/18/2015,91.440002,92.75,91.029999,92.209999
11/19/2015,92.029999,92.370003,90.43,90.830002
11/20/2015,90.639999,91.309998,88.809998,89.010002
11/23/2015,88.650002,90.440002,88.110001,90.010002
11/24/2015,90.190002,92.300003,89.800003,91.349998
11/25/2015,90.709999,91.32,90.160004,90.870003
11/27/2015,90.25,90.839996,90.050003,90.370003
11/30/2015,90.639999,91.959999,90.440002,91.32
12/1/2015,90.970001,92.650002,90.970001,92.480003
12/2/2015,92.599998,92.690002,90.029999,90.25
12/3/2015,90.809998,91.419998,88.360001,88.849998
12/4/2015,87.900002,89.82,86.489998,89.709999
12/7/2015,87.480003,87.940002,84.900002,87.279999
12/8/2015,85.809998,88,84.25,86.440002
12/9/2015,86.669998,90.139999,86.300003,87.599998
12/10/2015,88,90.459999,87.610001,89.300003
12/11/2015,87.849998,87.910004,86.089996,86.440002
12/14/2015,86.300003,89.589996,85.410004,89.330002
12/15/2015,90.580002,93.400002,90.550003,92.760002
12/16/2015,92.580002,93.82,90.809998,93.440002
12/17/2015,93.5,94,90.400002,90.540001
12/18/2015,90.059998,91.269997,89.300003,89.809998
12/21/2015,90.400002,90.699997,88.209999,89.239998
12/22/2015,89.120003,90.790001,88.300003,90.269997
12/23/2015,92.199997,93.849998,91.57,93.809998
12/24/2015,93.949997,93.949997,92.010002,92.050003
12/28/2015,90.309998,90.720001,89.690002,90.360001
12/29/2015,91.889999,92.580002,91.07,91.25
12/30/2015,90.099998,90.980003,89.889999,90.089996
12/31/2015,89.379997,90.860001,89.019997,89.959999
1/4/2016,89.529999,90.110001,87.57,88.849998
1/5/2016,89.050003,89.650002,87.839996,89.610001
1/6/2016,87.440002,87.779999,85.160004,86.07
1/7/2016,84.550003,85.75,82.669998,83.019997
1/8/2016,83.389999,83.839996,81.220001,82.129997
1/11/2016,82.849998,82.970001,79.769997,80.769997
1/12/2016,82.199997,82.400002,79.690002,82.150002
1/13/2016,83.160004,84.25,80.010002,81.330002
1/14/2016,81.949997,86.169998,80.949997,85.470001
1/15/2016,81.639999,83.809998,80.870003,83.669998
